no,group,code,name,parent_code,is_equity
1,assets,110-10,CASH,,0
2,assets,110-10-001,HOUSE BANK G.Cashier (Rp),110-10,0
3,assets,110-10-002,Petty Cash G.Cashier (Rp),110-10,0
4,assets,110-10-003,House Bank Front Office,110-10,0
5,assets,110-10-004,House Bank Restaurant,110-10,0
6,assets,110-10-005,Petty Cash Purchasing,110-10,0
7,assets,110-10-010,Cash In Transit,110-10,0
8,assets,110-20,BANK,,0
9,assets,110-20-001,BCA #00199880880 Bank Incoming ,110-20,0
10,assets,110-20-002,BCA #00190821111 EDC Bank Incoming ,110-20,0
11,assets,110-20-003,BCA #00190803333 Bank Outgoing ,110-20,0
12,assets,110-20-004,BCA #00190837777 Bank Outgoing ,110-20,0
13,assets,110-20-005,Bank Niaga #800162717900,110-20,0
14,assets,110-20-006,Bank Mandiri #144082003200,110-20,0
15,assets,110-20-007,Shopeepay,110-20,0
16,assets,110-20-008,Bank 2,110-20,0
17,assets,110-20-009,BCA #00190720888 Owning NOP,110-20,0
18,assets,110-30,CASH CLEARANCE,,0
19,assets,110-30-001,FO Cash Clearance (DARI OPRS),110-30,0
20,assets,110-30-002,Outlet Cash Clearance,110-30,0
21,assets,110-30-003,Bridge Accounts,110-30,0
22,assets,120-00,ACCOUNT RECEIVABLE,,0
23,assets,120-00-001,Guest Ledger (DARI OPRS),120-00,0
24,assets,120-00-002,AR Travel Agent - OTA,120-00,0
25,assets,120-00-003,AR Travel - OFF LINE,120-00,0
26,assets,120-00-004,AR EDC BCA,120-00,0
27,assets,120-00-005,AR EDC Mandiri,120-00,0
28,assets,120-00-006,AR EDC CIMB Niaga,120-00,0
29,assets,120-00-007,AR Company Ledger,120-00,0
30,assets,120-00-008,AR Individual Ledger,120-00,0
31,assets,120-00-009,AR Government Ledger,120-00,0
32,assets,120-00-011,AR InterTransfer Cost To CORP,120-00,0
33,assets,120-00-012,AR PartnerSHIP,120-00,0
34,assets,120-00-013,AR VCR Sales,120-00,0
35,assets,120-00-08,AR Clearance (DARI OPRS),120-00,0
36,assets,120-00-099,(Less) Allocation For doubt Acct,120-00,0
37,assets,120-20,OTHER RECEIVABLE,,0
38,assets,120-20-001,AR Employee,120-20,0
39,assets,120-20-002,AR Others,120-20,0
40,assets,120-50,AFFILIATED COMP RECEIVABLE,,0
41,assets,120-50-001,Unit & Owner Inter Account,120-50,0
42,assets,120-50-002,Affiliated Company Inter Account Riverstone,120-50,0
43,assets,120-60,DEPOSIT & ADVANCE,,0
44,assets,120-60-001,Purchase Contract Deposit,120-60,0
45,assets,120-60-002,Traveling Expenses,120-60,0
46,assets,120-60-003,Employee Loan,120-60,0
47,assets,120-60-004,Other Deposit,120-60,0
48,assets,120-60-005,Other Advance,120-60,0
49,assets,130-10,INVENTORY,,0
50,assets,130-10-001,Inv Food,130-10,0
51,assets,130-10-002,Inv Beverage,130-10,0
52,assets,130-10-003,Inv Mini Bar,130-10,0
53,assets,130-10-004,Inv Tobacco,130-10,0
54,assets,130-10-005,Inv Cleaning Supplies,130-10,0
55,assets,130-10-006,Inv Guest Supplies,130-10,0
56,assets,130-10-007,Inv Printing & Stationary,130-10,0
57,assets,130-10-008,Inv Menu & Bev List,130-10,0
58,assets,130-10-009,Inv Engineering Supplies,130-10,0
59,assets,130-10-011,Inv Bulbs Supplies,130-10,0
60,assets,130-10-012,Inv Paint Supplies,130-10,0
61,assets,130-10-013,"Inv Fuel, Gas & Lubricants",130-10,0
62,assets,130-10-014,Inv Pool Supplies,130-10,0
63,assets,130-10-015,Inv Paper Supplies,130-10,0
64,assets,130-10-016,Inv Plumbing & Heating,130-10,0
