no,type,code,name,parent_code,threshold,unit
0,,V-0001,VERNON STORE,,0,
0,,S-0001,SUPPLIER,,0,
1,FIXED GOODS,S-GRECH-RAJA3000,GRECH Amphibious Eco Pump RAJA-3000,S-0001,0,PC
2,FIXED GOODS,S-GRECH-RAJA3600,GRECH Amphibious Eco Pump RAJA-3600,S-0001,0,PC
3,FIXED GOODS,S-GRECH-RAJA5200,GRECH Amphibious Eco Pump RAJA-5200,S-0001,0,PC
4,FIXED GOODS,S-GRECH-RAJA6000,GRECH Amphibious Eco Pump RAJA-6000,S-0001,0,PC
5,FIXED GOODS,S-GRECH-RAJA8000,GRECH Amphibious Eco Pump RAJA-8000,S-0001,0,PC
6,FIXED GOODS,S-GRECH-RAJA10000,GRECH Amphibious Eco Pump RAJA-10000,S-0001,1,PC
7,FIXED GOODS,S-GRECH-RAJA12000,GRECH Amphibious Eco Pump RAJA-12000,S-0001,0,PC
8,FIXED GOODS,S-GRECH-RAJA14000,GRECH Amphibious Eco Pump RAJA-14000,S-0001,0,PC
9,FIXED GOODS,S-GRECH-RAJA16000,GRECH Amphibious Eco Pump RAJA-16000,S-0001,1,PC
10,FIXED GOODS,S-GRECH-CEF16000,GRECH CEF Frequency Conversion Fish Pond Pump CEF-16000,S-0001,0,PC
11,FIXED GOODS,S-GRECH-CEF22000,GRECH CEF Frequency Conversion Fish Pond Pump CEF-22000,S-0001,0,PC
12,FIXED GOODS,S-GRECH-CEF26000,GRECH CEF Frequency Conversion Fish Pond Pump CEF-26000,S-0001,2,PC
13,FIXED GOODS,S-GRECH-KOI7000,GRECH Frequency Variation Pump KOI-7000,S-0001,2,PC
14,FIXED GOODS,S-GRECH-HF500UV,GRECH Hang On Back Filter HF-500UV,S-0001,0,PC
15,FIXED GOODS,V-GRECH-HF600UV,GRECH Hang On Back Filter HF-600UV,V-0001,0,PC
16,FIXED GOODS,S-JETEPE-JTP5800,JETEPE Frequency Variation Pump JTP-5800,S-0001,1,PC
17,FIXED GOODS,V-JETEPE-JTP5800,JETEPE Frequency Variation Pump JTP-5800,V-0001,0,PC
18,FIXED GOODS,S-JETEPE-JTP9000,JETEPE Frequency Variation Pump JTP-9000,S-0001,1,PC
19,FIXED GOODS,V-JETEPE-JTP9000,JETEPE Frequency Variation Pump JTP-9000,V-0001,1,PC
