"code","name","station","cogs","resource_type","resource_code","resource_name","resource_unit","conversion","item_code","item_name","qty"
"AM-R","Caff� Americano Ice R","Bar",0,"ingridient","BB-01-001","Kopi","KG","1 Kg","DA-02-00001-01","Coffee Bean Roasted House Blend CV Arera Pack 1 Kg",0.0095
"AM-R","Caff� Americano Ice R","Bar",0,"ingridient","BB-09-001","Air","LITER","19 Liter","DA-06-00005-01","Air Cleo Galon",0.052834
"AM-R","Caff� Americano Ice R","Bar",0,"ingridient","BB-10-001","Es","KG","10 Kg","DA-06-00001-01","Es Tube Sedang Pack",0.04
"AM-R","Caff� Americano Ice R","Bar",0,"package","PA-04-003","Cup PP SA 12 oz","PCS","1200 Pcs","PA-01-00001-01","Cup PP SA 12 oz Hansupack",1
"AM-R","Caff� Americano Ice R","Bar",0,"package","PA-06-001","Plastik Cup Sealer","M","150 M","PA-01-00010-01","Plastik Cup Sealer Roll 150 M",0.0013
"AM-R","Caff� Americano Ice R","Bar",0,"package","PA-04-004","Sedotan Ungu 6 mm","PCS","500 Pcs","PA-01-00007-01","Sedotan Ungu Lancip 6 mm Hansupack",1
"AM-L","Caff� Americano Ice L","Bar",0,"ingridient","BB-01-001","Kopi","KG","1 Kg","DA-02-00001-01","Coffee Bean Roasted House Blend CV Arera Pack 1 Kg",0.01267
"AM-L","Caff� Americano Ice L","Bar",0,"ingridient","BB-09-001","Air","LITER","19 Liter","DA-06-00005-01","Air Cleo Galon",0.052834
"AM-L","Caff� Americano Ice L","Bar",0,"ingridient","BB-10-001","Es","KG","10 Kg","DA-06-00001-01","Es Tube Sedang Pack",0.04
"AM-L","Caff� Americano Ice L","Bar",0,"package","PA-04-002","Cup PP SA 16 oz","PCS","1200 Pcs","PA-01-00002-01","Cup PP SA 16 oz Hansupack",1
"AM-L","Caff� Americano Ice L","Bar",0,"package","PA-06-001","Plastik Cup Sealer","M","150 M","PA-01-00010-01","Plastik Cup Sealer Roll 150 M",0.0013
"AM-L","Caff� Americano Ice L","Bar",0,"package","PA-04-004","Sedotan Ungu 6 mm","PCS","500 Pcs","PA-01-00007-01","Sedotan Ungu Lancip 6 mm Hansupack",1
"AM-H","Caff� Americano Hot","Bar",0,"ingridient","BB-01-001","Kopi","KG","1 Kg","DA-02-00001-01","Coffee Bean Roasted House Blend CV Arera Pack 1 Kg",0.0095
"AM-H","Caff� Americano Hot","Bar",0,"ingridient","BB-09-001","Air","LITER","19 Liter","DA-06-00005-01","Air Cleo Galon",0.052834
"AM-H","Caff� Americano Hot","Bar",0,"package","PA-04-001","Cup Hot + Lid 12 oz","PCS","1000 Pcs","PA-01-00006-01","Paper Cup Hot + Lid 12 oz Hansupack",1
"AM-H","Caff� Americano Hot","Bar",0,"package","PA-04-006","Sedotan Ungu Pipih","PCS","200 Pcs","PA-01-00003-01","Sedotan Pipih Ungu Hansupack",1
"KSN-R","Es Kopi Susu Nakoa R","Bar",0,"ingridient","BB-01-001","Kopi","KG","1 Kg","DA-02-00001-01","Coffee Bean Roasted House Blend CV Arera Pack 1 Kg",0.0095
"KSN-R","Es Kopi Susu Nakoa R","Bar",0,"ingridient","BB-02-001","Susu","LITER","1 Liter","DA-01-00001-01","Susu GreenField ESL Pack 1 Liter",0.12
"KSN-R","Es Kopi Susu Nakoa R","Bar",0,"ingridient","BB-04-001","SKM","KG","0.495 Kg","DA-01-00006-01","Krimer Carnation Putih Kaleng 495 Gram",0.6
